variant,routers,metric,hardware_n,otns_n,hardware_mean_ms,otns_mean_ms,delta_mean_ms,delta_mean_ci95_low_ms,delta_mean_ci95_high_ms,hardware_median_ms,otns_median_ms,delta_median_ms,delta_median_ci95_low_ms,delta_median_ci95_high_ms
ucast,2,adjusted_parent_request_to_response_ms,100,0,,,,,,,,,,
ucast,3,parent_request_to_response_ms,100,100,251.4457488,501.40057,-249.95482120000003,-750.19770869725,17.36110051899998,244.687438,259.94,-15.252562000000012,-73.74298250000001,42.52216624999999
ucast,3,parent_response_to_child_id_request_ms,100,100,10.51411866,5.9088,4.605318659999999,4.2591690225,4.9334913495,10.6109385,5.576,5.0349385,4.567953,5.3736481499999975
ucast,3,child_id_request_to_response_ms,100,100,13.96706823,5.7008,8.266268230000001,7.937661844249999,8.5652845075,14.184832499999999,5.416,8.768832499999998,8.4418404375,9.246427
ucast,3,full_attach_ms,100,100,275.92693566,513.01017,-237.08323434,-736.3816909565,32.08183148099996,269.4393395,271.572,-2.132660499999986,-61.575683999999995,53.239499162500024
ucast,3,parent_request_to_ack_ms,100,100,2.5675513800000003,2.56,0.0075513800000002185,0.00743691974999996,0.007663460499999853,2.568007,2.56,0.008007000000000097,0.007052999999999976,0.008007000000000097
ucast,3,parent_request_ack_to_parent_response_ms,100,100,248.87819768,498.84057,-249.96237232000001,-753.5993686270001,19.14361391549989,242.11943150000002,257.38,-15.260568499999977,-70.731899775,42.102592224999945
ucast,3,parent_response_to_ack_ms,100,100,4.00751364,4.0,0.007513639999999988,0.007411129999999488,0.007609019999999411,4.007816,4.0,0.007816000000000045,0.00710099999999958,0.007816000000000045
ucast,3,parent_response_ack_to_child_id_request_ms,100,100,6.50660513,1.9088,4.597805129999999,4.2360733250000004,4.9295244505,6.6030025000000006,1.576,5.0270025,4.529619,5.3470025
ucast,3,child_id_request_to_ack_ms,100,100,3.84757522,3.84,0.007575220000000105,0.007465589750000246,0.007689680250000363,3.847837,3.84,0.007837000000000316,0.007122000000000295,0.008075999999999972
ucast,3,child_id_request_ack_to_child_id_response_ms,100,100,10.11949304,1.8608,8.25869304,7.9183544745,8.564982309749999,10.336995,1.576,8.760995,8.447116999999999,9.244550499999999
ucast,3,adjusted_parent_request_to_response_ms,100,0,,,,,,,,,,
ucast,4,parent_request_to_response_ms,100,100,248.30410955,260.12408,-11.81997045,-51.839406431749985,26.82133008949993,226.8568275,271.28,-44.423172499999964,-104.59119299999999,30.179906500000016
ucast,4,parent_response_to_child_id_request_ms,100,100,10.48824309,6.3928,4.095443089999999,3.4132938089999993,4.6162294382499995,10.4584695,5.576,4.8824695,4.3966583125,5.059337387499997
ucast,4,child_id_request_to_response_ms,100,100,13.91490458,5.85536,8.05954458,7.62596514025,8.4351096935,13.951421,5.416,8.535421,7.958048000000001,8.905628087499998
