platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
otns,stock-low-power,2,parent_response_ack_to_child_id_request_ms,100,488.24848000000003,150.81399949301922,466.53999999999996,250.82999999999993,260.884,361.062,611.8919999999999,726.7424,243.24,740.488,487.2835
hardware,stock-low-power,2,parent_response_ack_to_child_id_request_ms,100,510.55136201,140.30864021828037,520.694971,197.68005600000004,271.6899396,414.13307175,611.81312775,722.1028091,241.044044,734.102964,514.502108075
otns,stock-low-power,2,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock-low-power,2,child_id_request_to_ack_ms,100,3.84755366,0.0005045303090272697,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.848791,3.8475631375
otns,stock-low-power,2,child_id_request_ack_to_child_id_response_ms,100,1.7424,0.954575922553671,1.576,1.2800000000000002,0.616,0.936,2.216,3.831999999999999,0.616,4.776,1.604
hardware,stock-low-power,2,child_id_request_ack_to_child_id_response_ms,100,10.00370979,0.9861959452268524,9.974599,1.5903117499999997,8.486950199999999,9.203136,10.79344775,11.570679799999999,8.280993,12.131929,9.978944049999999
otns,stock-low-power,2,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
hardware,stock-low-power,2,adjusted_parent_request_to_response_ms,100,9.79111629,0.9202835922765769,9.892064000000001,1.3653580000000005,8.065933549999999,9.106064,10.471422,11.3029259,7.742964,11.462048,9.812633875
otns,stock-low-power,3,parent_request_to_response_ms,100,266.01634,149.99706300095858,248.736,282.49,57.916,127.666,410.156,488.5716,5.016,499.344,265.73025
hardware,stock-low-power,3,parent_request_to_response_ms,100,257.13714123,146.58107831853644,246.80650250000002,253.09598425000004,41.6617749,137.78722324999998,390.8832075,482.57976779999996,13.906002,505.280018,255.81486523750002
otns,stock-low-power,3,parent_response_to_child_id_request_ms,100,483.99492,150.00457952333767,501.424,282.52799999999996,260.326,340.382,622.91,690.058,251.84,744.96,484.3155625
