platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
hardware,stock-low-power,3,child_id_request_ack_to_child_id_response_ms,100,10.0684786,0.9317506587525972,10.1264715,1.2652280000000005,8.52037665,9.3711615,10.6363895,11.8425011,8.388996,12.068033,10.045769825
otns,stock-low-power,4,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock-low-power,4,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock-low-power,4,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock-low-power,4,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock-low-power,4,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock-low-power,4,parent_response_to_ack_ms,100,4.00758039,0.0005222343391136384,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.009008,4.007598825
otns,stock-low-power,4,parent_response_ack_to_child_id_request_ms,100,500.41525,153.046362698827,496.352,275.85599999999994,262.40680000000003,366.944,642.8,731.6764,240.56,740.552,501.7573625
hardware,stock-low-power,4,parent_response_ack_to_child_id_request_ms,100,467.3398972,133.71927980656488,456.77948,245.07367600000003,280.20405734999997,350.909293,595.982969,672.4557166,238.3008,715.662003,465.1312739125
otns,stock-low-power,4,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock-low-power,4,child_id_request_to_ack_ms,100,3.84768486,0.0005604977048762791,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.847688375
otns,stock-low-power,4,child_id_request_ack_to_child_id_response_ms,100,2.0272,1.3470096172971109,1.896,0.9600000000000002,0.616,1.256,2.216,4.776,0.616,9.576,1.792
