platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
hardware,stock-low-power,2,full_attach_ms,100,765.64127685,1.6865544482085857,765.7380105,2.433001999999874,762.78346775,764.3824812500001,766.8154832499999,768.2957057499999,762.100935,769.959927,765.6618297
otns,stock-low-power,2,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock-low-power,2,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock-low-power,2,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock-low-power,2,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock-low-power,2,parent_response_to_ack_ms,99,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock-low-power,2,parent_response_to_ack_ms,100,4.0075351,0.0005329765947065591,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.009008,4.0075422125
otns,stock-low-power,2,parent_response_ack_to_child_id_request_ms,99,488.1111919191919,151.57522502635226,462.24,252.13999999999993,260.848,360.604,612.7439999999999,726.8848,243.24,740.488,487.20296296296294
hardware,stock-low-power,2,parent_response_ack_to_child_id_request_ms,100,510.55136201,140.30864021828037,520.694971,197.68005600000004,271.6899396,414.13307175,611.81312775,722.1028091,241.044044,734.102964,514.502108075
otns,stock-low-power,2,child_id_request_to_ack_ms,99,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock-low-power,2,child_id_request_to_ack_ms,100,3.84755366,0.0005045303090272697,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.848791,3.8475631375
otns,stock-low-power,2,child_id_request_ack_to_child_id_response_ms,99,1.7408484848484849,0.9593071092565352,1.576,1.2800000000000002,0.616,0.936,2.216,3.847999999999998,0.616,4.776,1.6076049382716049
hardware,stock-low-power,2,child_id_request_ack_to_child_id_response_ms,100,10.00370979,0.9861959452268524,9.974599,1.5903117499999997,8.486950199999999,9.203136,10.79344775,11.570679799999999,8.280993,12.131929,9.978944049999999
otns,stock-low-power,2,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
hardware,stock-low-power,2,adjusted_parent_request_to_response_ms,100,9.79111629,0.9202835922765769,9.892064000000001,1.3653580000000005,8.065933549999999,9.106064,10.471422,11.3029259,7.742964,11.462048,9.812633875
otns,stock-low-power,3,parent_request_to_response_ms,99,264.58482828282825,150.07227634893744,247.736,284.62000000000006,57.096000000000004,126.676,411.29600000000005,488.7992,5.016,499.344,264.25111111111113
hardware,stock-low-power,3,parent_request_to_response_ms,97,255.1523828041237,145.23895813069083,241.384983,245.82982,41.1511896,139.436007,385.265827,480.60989379999984,13.906002,505.280018,253.67121758227847
