platform,variant,routers,metric,value_ms,outer_fence_low_ms,outer_fence_high_ms,source_run,retransmission_observed,duplicate_sequence_observed,classification,disposition
otns,fast-attach-corrected,3,parent_response_to_child_id_request_ms,14.216,2.056,9.336,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_061/baseline_summary_20260919T112854Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,parent_response_to_child_id_request_ms,18.056,2.056,9.336,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_081/baseline_summary_20260919T112906Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,parent_response_to_child_id_request_ms,11.976,2.056,9.336,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_086/baseline_summary_20260919T112908Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,parent_response_to_child_id_request_ms,16.456,2.056,9.336,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_098/baseline_summary_20260919T112914Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,child_id_request_to_response_ms,14.696,2.216,8.936,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_005/baseline_summary_20260919T112819Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,child_id_request_to_response_ms,9.576,2.216,8.936,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_019/baseline_summary_20260919T112829Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,child_id_request_to_response_ms,13.096,2.216,8.936,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_034/baseline_summary_20260919T112838Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,child_id_request_to_response_ms,19.496,2.216,8.936,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_051/baseline_summary_20260919T112848Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,child_id_request_to_response_ms,12.456,2.216,8.936,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_073/baseline_summary_20260919T112901Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,child_id_request_to_response_ms,11.816,2.216,8.936,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_079/baseline_summary_20260919T112903Z.json,False,False,valid_complete_sequence_long_tail,retained
